symbol,open,high,low,close,volume,date
AAPL,133.52,133.6116,126.76,129.41,143301887,01-04-2021
AAPL,128.89,131.74,128.43,131.01,97664898,01-05-2021
AAPL,127.72,131.0499,126.382,126.6,155087970,01-06-2021
AAPL,128.36,131.63,127.86,130.92,109578157,01-07-2021
AAPL,132.43,132.63,130.23,132.05,105158245,01-08-2021
AAPL,129.19,130.17,128.5,128.98,100620880,01-11-2021
AAPL,128.5,129.69,126.86,128.8,91951145,01-12-2021
AAPL,128.76,131.45,128.49,130.89,88636831,13-01-2021
AAPL,130.8,131,128.76,128.91,90221755,14-01-2021
AAPL,128.78,130.2242,127,127.14,111598531,15-01-2021
AAPL,127.78,128.71,126.938,127.83,90757329,19-01-2021
AAPL,128.66,132.49,128.55,132.03,104319489,20-01-2021
AAPL,133.8,139.67,133.59,136.87,120529544,21-01-2021
AAPL,136.28,139.85,135.02,139.07,114459360,22-01-2021
AAPL,143.07,145.09,136.54,142.92,157611713,25-01-2021
AAPL,143.6,144.3,141.37,143.16,98390555,26-01-2021
AAPL,143.43,144.3,140.41,142.06,140843759,27-01-2021
AAPL,139.52,141.99,136.7,137.09,142621128,28-01-2021
AAPL,135.83,136.74,130.21,131.96,177523812,29-01-2021
AAPL,133.75,135.38,130.93,134.14,106239823,02-01-2021
AAPL,135.73,136.31,134.61,134.99,83305367,02-02-2021
AAPL,135.76,135.77,133.61,133.94,89880937,02-03-2021
AAPL,136.3,137.4,134.59,137.39,84183061,02-04-2021
AAPL,137.35,137.42,135.86,136.76,75693830,02-05-2021
AAPL,136.03,136.96,134.92,136.91,71297214,02-08-2021
AAPL,136.62,137.877,135.85,136.01,76774213,02-09-2021
AAPL,136.48,136.99,134.4,135.39,73046563,02-10-2021
AAPL,135.9,136.39,133.77,135.13,64280029,02-11-2021
AAPL,134.35,135.53,133.6921,135.37,60145130,02-12-2021
AAPL,135.49,136.01,132.79,133.19,80576316,16-02-2021
AAPL,131.25,132.22,129.47,130.84,98085249,17-02-2021
AAPL,129.2,129.995,127.41,129.71,96856748,18-02-2021
AAPL,130.24,130.71,128.8,129.87,87668834,19-02-2021
AAPL,128.01,129.72,125.6,126,103916419,22-02-2021
AAPL,123.76,126.71,118.39,125.86,158273022,23-02-2021
AAPL,124.94,125.56,122.23,125.35,111039904,24-02-2021
AAPL,124.68,126.4585,120.54,120.99,148199540,25-02-2021
AAPL,122.59,124.85,121.2,121.26,164560394,26-02-2021
AAPL,123.75,127.93,122.79,127.79,116307892,03-01-2021
AAPL,128.41,128.72,125.01,125.12,102260945,03-02-2021
AAPL,124.81,125.71,121.84,122.06,112966340,03-03-2021
AAPL,121.75,123.6,118.62,120.13,178154975,03-04-2021
AAPL,120.98,121.935,117.57,121.42,153766601,03-05-2021
AAPL,120.93,121,116.21,116.36,154376610,03-08-2021
AAPL,119.03,122.06,118.79,121.085,129525780,03-09-2021
AAPL,121.69,122.17,119.45,119.98,111943326,03-10-2021
AAPL,122.54,123.21,121.26,121.96,103026514,03-11-2021
AAPL,120.4,121.17,119.16,121.03,88105050,03-12-2021
AAPL,121.41,124,120.42,123.99,92590555,15-03-2021
AAPL,125.7,127.22,124.715,125.57,115227936,16-03-2021
AAPL,124.05,125.8599,122.336,124.76,111932636,17-03-2021
AAPL,122.88,123.18,120.32,120.53,121469755,18-03-2021
AAPL,119.9,121.43,119.675,119.99,185549522,19-03-2021
AAPL,120.33,123.87,120.26,123.39,111912284,22-03-2021
AAPL,123.33,124.24,122.14,122.54,95467142,23-03-2021
AAPL,122.82,122.9,120.065,120.09,88530485,24-03-2021
AAPL,119.54,121.66,119,120.59,98844681,25-03-2021
AAPL,120.35,121.48,118.92,121.21,94071234,26-03-2021
AAPL,121.65,122.58,120.7299,121.39,80819203,29-03-2021
AAPL,120.11,120.4031,118.86,119.9,85671919,30-03-2021
AAPL,121.65,123.52,121.15,122.15,118323826,31-03-2021
AAPL,123.66,124.18,122.49,123,75089134,04-01-2021
AAPL,123.87,126.1601,123.07,125.9,88651175,04-05-2021
AAPL,126.5,127.13,125.65,126.21,80171253,04-06-2021
AAPL,125.83,127.92,125.14,127.9,83466716,04-07-2021
AAPL,128.95,130.39,128.52,130.36,88844591,04-08-2021
AAPL,129.8,133.04,129.47,132.995,106686703,04-09-2021
AAPL,132.52,132.85,130.63,131.24,91419983,04-12-2021
AAPL,132.44,134.66,131.93,134.43,91266545,13-04-2021
AAPL,134.94,135,131.655,132.03,87222782,14-04-2021
AAPL,133.82,135,133.64,134.5,89347102,15-04-2021
AAPL,134.3,134.67,133.28,134.16,84922386,16-04-2021
AAPL,133.51,135.47,133.34,134.84,94264215,19-04-2021
AAPL,135.02,135.53,131.81,133.11,94812349,20-04-2021
AAPL,132.36,133.75,131.3001,133.5,68847136,21-04-2021
AAPL,133.04,134.15,131.41,131.94,84566456,22-04-2021
AAPL,132.16,135.12,132.16,134.32,78756779,23-04-2021
AAPL,134.83,135.06,133.56,134.72,66905069,26-04-2021
AAPL,135.01,135.41,134.11,134.39,66015804,27-04-2021
AAPL,134.31,135.02,133.08,133.58,107760097,28-04-2021
AAPL,136.47,137.07,132.45,133.48,151100953,29-04-2021
AAPL,131.78,133.56,131.065,131.46,109839466,30-04-2021
AAPL,132.04,134.07,131.83,132.54,75135100,05-03-2021
AAPL,131.19,131.4899,126.7,127.85,137564718,05-04-2021
AAPL,129.2,130.45,127.97,128.1,84000900,05-05-2021
AAPL,127.89,129.75,127.13,129.74,78128334,05-06-2021
AAPL,130.85,131.2582,129.475,130.21,78973273,05-07-2021
AAPL,129.41,129.54,126.81,126.85,88071229,05-10-2021
AAPL,123.5,126.27,122.77,125.91,126142826,05-11-2021
AAPL,123.4,124.64,122.25,122.77,112172282,05-12-2021
AAPL,124.58,126.15,124.26,124.97,105861339,13-05-2021
AAPL,126.25,127.89,125.85,127.45,81917951,14-05-2021
AAPL,126.82,126.93,125.17,126.27,74244624,17-05-2021
AAPL,126.56,126.99,124.78,124.85,63342929,18-05-2021
AAPL,123.16,124.915,122.86,124.69,92611989,19-05-2021
AAPL,125.23,127.72,125.1,127.31,76857123,20-05-2021
AAPL,127.82,128,125.21,125.43,79295436,21-05-2021
AAPL,126.01,127.94,125.94,127.1,63092945,24-05-2021
AAPL,127.82,128.32,126.32,126.9,72009482,25-05-2021
AAPL,126.955,127.39,126.42,126.85,56575920,26-05-2021
AAPL,126.44,127.64,125.08,125.28,94625601,27-05-2021
AAPL,125.57,125.8,124.55,124.61,71311109,28-05-2021
AAPL,125.08,125.35,123.94,124.28,67637118,06-01-2021
AAPL,124.28,125.24,124.05,125.06,59278862,06-02-2021
AAPL,124.68,124.85,123.13,123.54,76229170,06-03-2021
AAPL,124.07,126.16,123.85,125.89,75169343,06-04-2021
AAPL,126.17,126.32,124.8321,125.9,71057550,06-07-2021
